full_name,registered_year,engine_capacity [cc],insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power [hp],seats,mileage [kmkg],body_type,city,resale_price [USD]
Mitsubishi Outlander,2011,2360,Third Party,Automatic,80000.0,Second Owner,Petrol,170,5.0,15.066666666666668,SUV,Agra,4764.0
Maruti Swift,2015,1248,Third Party,Manual,20000.0,First Owner,Diesel,70,5.0,31.28235294117647,Sedan,Agra,4500.0
Maruti Alto,2011,998,Third Party,Manual,120000.0,Third Owner,Petrol,60,5.0,27.893333333333334,Hatchback,Agra,1200.0
Maruti Baleno,2021,1197,Third Party,Manual,40000.0,First Owner,Petrol,80,5.0,28.013333333333335,Hatchback,Agra,8100.0
Hyundai Xcent,2018,1197,Third Party,Manual,60000.0,Second Owner,Petrol,80,5.0,26.853333333333335,Sedan,Agra,5580.000000000001
Maruti Swift,2015,1197,Third Party,Manual,80000.0,Second Owner,Petrol,80,5.0,27.8,Sedan,Agra,5760.0
Maruti Alto,2014,796,Third Party,Manual,100000.0,First Owner,Petrol,40,5.0,30.319999999999997,Hatchback,Agra,2700.0
Maruti Wagon,2016,998,Third Party,Manual,70000.0,Second Owner,Petrol,60,5.0,27.346666666666668,Hatchback,Agra,3840.0
Hyundai Grand,2015,1197,Third Party,Manual,30000.0,First Owner,Petrol,80,5.0,25.2,Hatchback,Agra,4980.000000000001
Maruti Swift,2012,1248,Third Party,Manual,120000.0,Third Owner,Diesel,70,5.0,26.941176470588236,Hatchback,Agra,2880.0
Mahindra XUV500,2013,2179,Third Party,Manual,100000.0,Third Owner,Diesel,140,7.0,17.764705882352942,SUV,Agra,4200.0
Tata New,2013,2179,Third Party,Manual,90000.0,Second Owner,Diesel,130,7.0,13.611764705882354,SUV,Agra,3552.0
Tata Tiago,2018,1199,Third Party,Manual,100000.0,First Owner,Petrol,80,5.0,31.786666666666665,Hatchback,Agra,3792.0
Maruti Vitara,2017,1248,Third Party,Manual,100000.0,Second Owner,Diesel,80,5.0,28.58823529411765,SUV,Agra,9000.0
Maruti Ertiga,2019,1248,Third Party,Manual,120000.0,First Owner,Diesel,80,7.0,29.96470588235294,MUV,Agra,10800.0
Maruti Celerio,2022,998,Third Party,Manual,10000.0,First Owner,Petrol,60,5.0,33.65333333333333,Hatchback,Agra,6720.0
Maruti Vitara,2017,1248,Third Party,Manual,150000.0,First Owner,Diesel,80,5.0,28.58823529411765,SUV,Agra,9600.0
Hyundai Creta,2017,1396,Third Party,Manual,120000.0,Second Owner,Diesel,80,5.0,26.000000000000004,SUV,Agra,10800.0
Maruti Alto,2019,796,Third Party,Manual,80000.0,First Owner,Petrol,40,5.0,29.400000000000002,Hatchback,Agra,3360.0
Toyota Innova,2009,2494,Third Party,Manual,150000.0,First Owner,Diesel,100,8.0,15.058823529411766,MUV,Agra,3000.0
Tata Manza,2011,1248,Third Party,Manual,150000.0,First Owner,Diesel,90,5.0,22.117647058823533,Sedan,Agra,1800.0
Hyundai Grand,2017,1186,Third Party,Manual,20000.0,First Owner,Diesel,70,5.0,28.235294117647058,Hatchback,Agra,5760.0
Maruti Eeco,2017,1196,Third Party,Manual,150000.0,First Owner,CNG,60,5.0,21.94,Minivans,Agra,3600.0
Audi A4,2014,1968,Third Party,Automatic,30000.0,Second Owner,Diesel,140,5.0,19.47058823529412,Sedan,Agra,14400.0
Hyundai i20,2022,1197,Third Party,Manual,10000.0,First Owner,Petrol,80,5.0,28.0,Hatchback,Agra,9600.0
Volkswagen Polo,2012,1199,Third Party,Manual,80000.0,Fifth Owner,Diesel,70,5.0,25.96470588235294,Hatchback,Agra,2400.0
Maruti Vitara,2019,1248,Third Party,Manual,80000.0,Second Owner,Diesel,80,5.0,28.58823529411765,SUV,Agra,8880.0
Hyundai Santro,2009,1086,Third Party,Manual,30000.0,First Owner,Petrol,60,5.0,23.893333333333334,Hatchback,Agra,1800.0
Maruti Swift,2016,1248,Third Party,Manual,30000.0,First Owner,Diesel,70,5.0,31.28235294117647,Sedan,Agra,6240.0
Hyundai i10,2010,1197,Third Party,Manual,80000.0,Third Owner,Petrol,70,5.0,27.146666666666665,Hatchback,Agra,2040.0
Hyundai Venue,2021,1197,Third Party,Manual,30000.0,First Owner,Petrol,80,5.0,23.36,SUV,Agra,8520.0
Skoda Rapid,2021,999,Third Party,Manual,20000.0,First Owner,Petrol,100,5.0,25.293333333333333,Sedan,Agra,11400.0
Ford Figo,2013,1399,Third Party,Manual,70000.0,First Owner,Diesel,60,5.0,23.529411764705884,Hatchback,Agra,2880.0
Skoda Rapid,2021,999,Third Party,Manual,20000.0,First Owner,Petrol,100,5.0,25.293333333333333,Sedan,Agra,11160.000000000002
MG Hector,2022,1956,Third Party,Manual,20000.0,First Owner,Diesel,160,7.0,19.48235294117647,SUV,Agra,23064.0
Hyundai EON,2013,814,Third Party,Manual,50000.0,Second Owner,Petrol,50,5.0,28.133333333333336,Hatchback,Agra,1800.0
Hyundai Grand,2015,1197,Third Party,Manual,30000.0,First Owner,Petrol,80,5.0,25.2,Hatchback,Agra,4560.0
Tata Punch,2021,1199,Third Party,Manual,30000.0,First Owner,Petrol,80,5.0,26.786666666666665,SUV,Agra,7080.0
Volkswagen Polo,2016,1498,Third Party,Manual,150000.0,First Owner,Diesel,80,5.0,23.694117647058825,Hatchback,Agra,4800.0
Toyota Etios,2013,1364,Third Party,Manual,40000.0,First Owner,Diesel,60,5.0,27.75294117647059,Hatchback,Agra,3600.0
Renault Duster,2017,1461,Third Party,Manual,120000.0,First Owner,Diesel,80,5.0,23.376470588235296,SUV,Agra,6000.0
Maruti Alto,2015,796,Third Party,Manual,20000.0,First Owner,Petrol,40,5.0,30.319999999999997,Hatchback,Agra,2520.0
Maruti Wagon,2009,998,Third Party,Manual,90000.0,Second Owner,Petrol,60,5.0,25.2,Hatchback,Agra,1200.0
Mahindra XUV500,2015,2179,Third Party,Manual,50000.0,First Owner,Diesel,140,7.0,18.823529411764707,SUV,Agra,10800.0
Kia Seltos,2020,1493,Third Party,Manual,70000.0,First Owner,Diesel,110,5.0,24.47058823529412,SUV,Agra,16188.0
Maruti Swift,2019,1248,Third Party,Manual,50000.0,First Owner,Diesel,70,5.0,33.411764705882355,Sedan,Agra,7800.0
Maruti Wagon,2019,998,Third Party,Manual,20000.0,First Owner,Petrol,60,5.0,29.05333333333333,Hatchback,Agra,5700.0
Nissan Terrano,2014,1461,Third Party,Manual,90000.0,Second Owner,Diesel,80,5.0,24.058823529411764,SUV,Agra,3840.0
Hyundai Grand,2015,1197,Third Party,Manual,60000.0,Second Owner,Petrol,80,5.0,25.2,Hatchback,Agra,4440.0
Maruti Wagon,2009,1061,Third Party,Manual,90000.0,Second Owner,Petrol,60,5.0,25.2,Hatchback,Agra,1320.0000000000002
Ford Figo,2020,1499,Third Party,Manual,60000.0,Second Owner,Diesel,90,5.0,28.705882352941174,Hatchback,Agra,6600.0
Honda Jazz,2015,1498,Third Party,Manual,90000.0,Second Owner,Diesel,90,5.0,32.11764705882353,Hatchback,Agra,4680.0
Hyundai i10,2017,1086,Third Party,Manual,20000.0,Second Owner,Petrol,60,5.0,26.41333333333333,Hatchback,Agra,3000.0
Maruti Alto,2013,796,Third Party,Manual,80000.0,First Owner,Petrol,40,5.0,30.319999999999997,Hatchback,Agra,2400.0
Maruti Swift,2022,1197,Third Party,Manual,10000.0,First Owner,Petrol,80,5.0,29.88,Sedan,Agra,8700.0
Honda Jazz,2017,1498,Third Party,Manual,110000.0,First Owner,Diesel,90,5.0,32.11764705882353,Hatchback,Agra,5400.0
Honda City,2017,1498,Third Party,Manual,120000.0,First Owner,Diesel,90,5.0,30.117647058823533,Sedan,Agra,9000.0
Maruti Alto,2013,796,Third Party,Manual,80000.0,First Owner,Petrol,40,5.0,30.319999999999997,Hatchback,Agra,2472.0
Mahindra XUV500,2015,2179,Third Party,Manual,120000.0,First Owner,Diesel,140,7.0,18.823529411764707,SUV,Agra,6600.0
Maruti Wagon,2012,998,Third Party,Manual,150000.0,First Owner,CNG,50,5.0,26.2,Hatchback,Agra,3000.0
Maruti Alto,2013,796,Third Party,Manual,80000.0,First Owner,Petrol,40,5.0,30.319999999999997,Hatchback,Agra,2520.0
Renault KWID,2016,799,Third Party,Manual,60000.0,Second Owner,Petrol,50,5.0,33.56,Hatchback,Agra,2220.0
Hyundai Grand,2014,1197,Third Party,Manual,70000.0,Third Owner,Petrol,80,5.0,25.2,Hatchback,Agra,3600.0
Chevrolet Spark,2009,995,Third Party,Manual,60000.0,Third Owner,Petrol,60,5.0,24.0,Hatchback,Agra,600.0
Chevrolet Spark,2009,995,Third Party,Manual,60000.0,Second Owner,Petrol,60,5.0,24.0,Hatchback,Agra,600.0
Hyundai Grand,2013,1120,Third Party,Manual,100000.0,Second Owner,Diesel,70,5.0,28.235294117647058,Hatchback,Agra,3000.0
Maruti SX4,2012,1586,Third Party,Manual,120000.0,Second Owner,Petrol,100,5.0,20.666666666666668,Sedan,Agra,2280.0
Maruti Swift,2019,1197,Third Party,Manual,40000.0,First Owner,Petrol,80,5.0,28.28,Sedan,Agra,7800.0
Honda Amaze,2013,1498,Third Party,Manual,120000.0,First Owner,Diesel,90,5.0,30.35294117647059,Sedan,Agra,2280.0
Maruti Baleno,2019,1197,Third Party,Manual,80000.0,Second Owner,Petrol,80,5.0,28.53333333333333,Hatchback,Agra,6840.0
Maruti Swift,2014,1248,Third Party,Manual,80000.0,Second Owner,Diesel,70,5.0,27.52941176470588,Sedan,Agra,4200.0
Honda City,2014,1498,Third Party,Manual,120000.0,Fourth Owner,Diesel,90,5.0,30.58823529411765,Sedan,Agra,4560.0
Maruti Vitara,2019,1248,Third Party,Manual,100000.0,First Owner,Diesel,80,5.0,28.58823529411765,SUV,Agra,9360.0
Renault KWID,2018,799,Third Party,Manual,20000.0,First Owner,Petrol,50,5.0,33.56,Hatchback,Agra,2880.0
Tata Nexon,2021,1199,Third Party,Manual,10000.0,First Owner,Petrol,110,5.0,23.106666666666666,SUV,Agra,10080.0
Ford Ecosport,2013,1498,Third Party,Manual,100000.0,Second Owner,Diesel,80,5.0,26.705882352941178,SUV,Agra,3000.0
Maruti Swift,2014,1248,Third Party,Manual,100000.0,Second Owner,Diesel,70,5.0,29.647058823529413,Hatchback,Agra,4800.0
Maruti Wagon,2009,1061,Third Party,Manual,80000.0,First Owner,Petrol,60,5.0,25.2,Hatchback,Agra,1800.0
Mahindra XUV500,2020,2179,Third Party,Manual,50000.0,First Owner,Diesel,150,7.0,17.764705882352942,SUV,Agra,15300.0
Datsun GO,2015,1198,Third Party,Manual,30000.0,Second Owner,Petrol,60,7.0,25.92,MUV,Agra,3240.0
Chevrolet Beat,2012,936,Third Party,Manual,70000.0,Second Owner,Diesel,50,5.0,29.929411764705886,Hatchback,Agra,2640.0000000000005
Ford Aspire,2017,1498,Third Party,Manual,50000.0,First Owner,Diesel,90,5.0,30.388235294117646,Sedan,Agra,7200.0
Mahindra XUV500,2016,2179,Third Party,Manual,50000.0,First Owner,Diesel,140,7.0,18.823529411764707,SUV,Agra,10800.0
Maruti Wagon,2019,1197,Third Party,Manual,20000.0,First Owner,Petrol,80,5.0,27.36,Hatchback,Agra,5940.0
Mahindra XUV300,2022,1197,Third Party,Automatic,60000.0,First Owner,Petrol,100,5.0,22.0,SUV,Agra,11760.000000000002
Kia Seltos,2019,1353,Third Party,Automatic,20000.0,First Owner,Petrol,130,5.0,21.599999999999998,SUV,Agra,16500.0
Maruti Wagon,2015,998,Third Party,Manual,40000.0,First Owner,Petrol,60,5.0,27.346666666666668,Hatchback,Agra,4080.0
MG Hector,2020,1451,Third Party,Automatic,40000.0,Second Owner,Petrol,140,5.0,18.613333333333333,SUV,Agra,15600.0
Tata Nexon,2019,1198,Third Party,Manual,70000.0,First Owner,Petrol,100,5.0,22.666666666666668,SUV,Agra,7200.0
Honda Brio,2012,1198,Third Party,Manual,60000.0,First Owner,Petrol,80,5.0,25.866666666666664,Hatchback,Agra,3600.0
Toyota Yaris,2020,1496,Third Party,Manual,40000.0,First Owner,Petrol,100,5.0,22.8,Sedan,Agra,13188.0
Renault Triber,2019,999,Third Party,Manual,20000.0,First Owner,Petrol,70,7.0,26.666666666666668,MUV,Agra,5219.999999999999
Maruti Wagon,2012,998,Third Party,Manual,100000.0,Second Owner,Petrol,60,5.0,25.2,Hatchback,Agra,2232.0
Maruti Eeco,2022,1196,Third Party,Manual,20000.0,First Owner,CNG,60,5.0,20.88,Minivans,Agra,7500.0
Renault Duster,2012,1461,Third Party,Manual,120000.0,Second Owner,Diesel,100,5.0,22.364705882352943,SUV,Agra,5400.0
Hyundai i20,2017,1396,Third Party,Manual,80000.0,First Owner,Diesel,80,5.0,26.517647058823528,Hatchback,Agra,7800.0
Maruti Wagon,2018,998,Third Party,Manual,150000.0,First Owner,CNG,50,5.0,26.6,Hatchback,Agra,4200.0
Hyundai i10,2009,1197,Third Party,Manual,50000.0,First Owner,Petrol,70,5.0,27.146666666666665,Hatchback,Agra,1560.0
Maruti Swift,2017,1248,Third Party,Manual,70000.0,First Owner,Diesel,70,5.0,29.647058823529413,Hatchback,Agra,6000.0
Mahindra Bolero,2021,1493,Third Party,Manual,10000.0,First Owner,Diesel,70,7.0,18.823529411764707,SUV,Agra,11400.0
Hyundai Creta,2017,1582,Third Party,Manual,120000.0,Third Owner,Diesel,120,5.0,23.14117647058824,SUV,Agra,8400.0
Ford Fiesta,2009,1399,Third Party,Manual,120000.0,Third Owner,Diesel,60,5.0,20.941176470588236,Sedan,Agra,1680.0
Tata New,2010,2179,Third Party,Manual,120000.0,First Owner,Diesel,130,7.0,13.611764705882354,SUV,Agra,2400.0
Renault KWID,2018,999,Third Party,Automatic,20000.0,First Owner,Petrol,60,5.0,32.053333333333335,Hatchback,Agra,3840.0
Hyundai i10,2011,1197,Third Party,Manual,40000.0,First Owner,Petrol,70,5.0,27.146666666666665,Hatchback,Agra,2400.0
Hyundai i20,2015,1197,Third Party,Manual,90000.0,Second Owner,Petrol,80,5.0,24.8,Hatchback,Agra,4919.999999999999
Maruti Swift,2016,1197,Third Party,Manual,30000.0,Second Owner,Petrol,80,5.0,28.28,Hatchback,Agra,5280.000000000001
Jeep Compass,2022,1368,Third Party,Automatic,20000.0,First Owner,Petrol,160,5.0,18.8,SUV,Agra,30000.0
Toyota Glanza,2020,1197,Third Party,Manual,30000.0,First Owner,Petrol,80,5.0,28.013333333333335,Hatchback,Agra,7560.0
Maruti Eeco,2018,1196,Third Party,Manual,100000.0,Second Owner,Petrol,70,7.0,20.493333333333332,Minivans,Agra,4200.0
Honda Amaze,2016,1498,Third Party,Manual,150000.0,First Owner,Diesel,90,5.0,32.23529411764706,Sedan,Agra,4800.0
Chevrolet Beat,2011,1199,Third Party,Manual,90000.0,First Owner,Petrol,70,5.0,24.8,Hatchback,Agra,1800.0
Honda Amaze,2016,1498,Third Party,Manual,150000.0,First Owner,Diesel,90,5.0,32.23529411764706,Sedan,Agra,5100.0
Maruti Swift,2016,1248,Third Party,Manual,80000.0,Second Owner,Diesel,70,5.0,31.28235294117647,Sedan,Agra,5100.0
Maruti Swift,2017,1197,Third Party,Manual,70000.0,Second Owner,Petrol,80,5.0,27.8,Sedan,Agra,4800.0
Maruti Swift,2016,1197,Third Party,Manual,30000.0,Second Owner,Petrol,80,5.0,28.28,Hatchback,Agra,5519.999999999999
Mahindra KUV,2017,1198,Third Party,Manual,70000.0,First Owner,Diesel,70,6.0,29.788235294117648,SUV,Agra,3960.0
Nissan Magnite,2021,999,Third Party,Manual,30000.0,First Owner,Petrol,70,5.0,25.0,SUV,Agra,5640.0
Hyundai Creta,2018,1582,Third Party,Automatic,70000.0,Second Owner,Diesel,120,5.0,20.705882352941178,SUV,Agra,13800.0
Maruti Ciaz,2020,1462,Third Party,Manual,60000.0,Second Owner,Petrol,100,5.0,27.53333333333333,Sedan,Agra,8700.0
Hyundai i20,2015,1396,Third Party,Manual,80000.0,Third Owner,Diesel,80,5.0,24.929411764705886,Hatchback,Agra,4800.0
Hyundai Grand,2013,1120,Third Party,Manual,150000.0,First Owner,Diesel,70,5.0,28.235294117647058,Hatchback,Agra,3000.0
MG Astor,2022,1498,Third Party,Manual,40000.0,First Owner,Petrol,100,5.0,20.573333333333334,SUV,Agra,17400.0
Hyundai i20,2020,1197,Third Party,Manual,40000.0,First Owner,Petrol,80,5.0,24.8,Hatchback,Agra,8280.0
Hyundai i20,2015,1197,Third Party,Manual,120000.0,Fourth Owner,Petrol,80,5.0,24.8,Hatchback,Agra,4200.0
Maruti Ertiga,2013,1248,Third Party,Manual,80000.0,Third Owner,Diesel,80,7.0,24.435294117647057,MUV,Agra,5100.0
Audi Q3,2014,1968,Third Party,Automatic,80000.0,Second Owner,Diesel,170,5.0,18.50588235294118,SUV,Agra,13200.0
Tata Punch,2022,1199,Third Party,Manual,10000.0,First Owner,Petrol,80,5.0,26.786666666666665,SUV,Agra,7200.0
Honda CR-V,2004,2354,Third Party,Automatic,150000.0,Second Owner,Petrol,150,5.0,13.466666666666667,SUV,Agra,2040.0
Maruti Wagon,2011,998,Third Party,Manual,70000.0,Fourth Owner,CNG,50,5.0,26.2,Hatchback,Agra,1920.0
Skoda Fabia,2011,1199,Third Party,Manual,90000.0,Third Owner,Diesel,70,5.0,24.541176470588237,Hatchback,Agra,1680.0
Mahindra Thar,2021,2184,Third Party,Manual,50000.0,Second Owner,Diesel,130,4.0,17.88235294117647,SUV,Agra,18000.0
Maruti Wagon,2011,998,Third Party,Manual,60000.0,First Owner,Petrol,60,5.0,25.2,Hatchback,Agra,2700.0
Hyundai i20,2019,1197,Third Party,Manual,40000.0,Second Owner,Petrol,80,5.0,24.8,Hatchback,Agra,6600.0
Maruti A-Star,2009,998,Third Party,Manual,60000.0,First Owner,Petrol,60,5.0,25.333333333333332,Hatchback,Agra,1680.0
Maruti Wagon,2017,998,Third Party,Manual,20000.0,First Owner,CNG,50,5.0,26.6,Hatchback,Agra,4800.0
Hyundai Verna,2018,1582,Third Party,Manual,90000.0,First Owner,Diesel,120,5.0,25.88235294117647,Sedan,Agra,10800.0
Ford Ecosport,2013,1498,Third Party,Manual,120000.0,First Owner,Diesel,80,5.0,26.705882352941178,SUV,Agra,4200.0
Hyundai EON,2013,814,Third Party,Manual,100000.0,Second Owner,Petrol,50,5.0,28.133333333333336,Hatchback,Agra,1680.0
Maruti Baleno,2021,1197,Third Party,Manual,30000.0,First Owner,Petrol,80,5.0,28.013333333333335,Hatchback,Agra,8400.0
Toyota Urban,2020,1462,Third Party,Automatic,50000.0,First Owner,Petrol,100,5.0,25.013333333333335,SUV,Agra,10560.000000000002
BMW 3,2010,1995,Third Party,Automatic,100000.0,Second Owner,Diesel,170,5.0,15.529411764705882,Sedan,Agra,12000.0
Maruti Swift,2010,1197,Third Party,Manual,120000.0,First Owner,Petrol,80,5.0,22.133333333333336,Hatchback,Agra,2580.0
Renault Duster,2013,1461,Third Party,Manual,150000.0,First Owner,Diesel,100,5.0,22.364705882352943,SUV,Agra,6000.0
Chevrolet Tavera,2012,2499,Third Party,Manual,150000.0,Second Owner,Diesel,80,7.0,17.411764705882355,MUV,Agra,2880.0
Tata Zest,2016,1248,Third Party,Manual,90000.0,Third Owner,Diesel,80,5.0,27.058823529411764,Sedan,Agra,3840.0
Maruti Wagon,2012,998,Third Party,Manual,150000.0,Third Owner,Petrol,60,5.0,25.2,Hatchback,Agra,2400.0
Maruti Wagon,2017,998,Third Party,Manual,30000.0,First Owner,Petrol,60,5.0,27.346666666666668,Hatchback,Agra,4800.0
Maruti Ritz,2010,1248,Third Party,Manual,100000.0,Second Owner,Diesel,70,5.0,24.823529411764707,Hatchback,Agra,1500.0
Hyundai i20,2018,1197,Third Party,Manual,50000.0,First Owner,Petrol,80,5.0,24.8,Hatchback,Agra,6000.0
Tata Tiago,2017,1047,Third Party,Manual,70000.0,First Owner,Diesel,60,5.0,32.09411764705882,Hatchback,Agra,4560.0
Chevrolet Beat,2011,936,Third Party,Manual,80000.0,First Owner,Diesel,50,5.0,29.929411764705886,Hatchback,Agra,1800.0
Hyundai Grand,2017,1186,Third Party,Manual,60000.0,First Owner,Diesel,70,5.0,28.235294117647058,Hatchback,Agra,6119.999999999999
Maruti Wagon,2015,998,Third Party,Manual,50000.0,Third Owner,Petrol,60,5.0,27.346666666666668,Hatchback,Agra,3000.0
Maruti Swift,2015,1248,Third Party,Manual,120000.0,Third Owner,Diesel,70,5.0,31.28235294117647,Sedan,Agra,4800.0
Hyundai Verna,2012,1582,Third Party,Manual,90000.0,Second Owner,Diesel,120,5.0,26.258823529411767,Sedan,Agra,4440.0
Audi Q3,2018,1395,First,Automatic,45000.0,Second Owner,Petrol,140,5.0,22.53333333333333,SUV,Gurgaon,29760.0
BMW 6,2018,1998,Third Party,Automatic,38000.0,First Owner,Petrol,250,4.0,19.04,Sedan,Gurgaon,56280.0
Audi A6,2016,1798,First,Automatic,49000.0,Second Owner,Petrol,180,5.0,20.346666666666668,Sedan,Gurgaon,26280.0
Audi A4,2018,1968,First,Automatic,46000.0,Second Owner,Diesel,180,5.0,21.47058823529412,Sedan,Gurgaon,27480.0
Audi Q3,2014,1968,First,Automatic,29000.0,First Owner,Diesel,170,5.0,18.50588235294118,SUV,Gurgaon,16680.0
Audi A4,2018,1395,First,Automatic,27000.0,First Owner,Petrol,140,5.0,23.786666666666665,Sedan,Gurgaon,33480.0
Mercedes-Benz E-Class,2014,2143,First,Automatic,120000.0,Second Owner,Diesel,200,5.0,15.294117647058824,Sedan,Gurgaon,14280.0
Audi Q7,2016,2967,First,Automatic,70000.0,First Owner,Diesel,240,7.0,14.200000000000001,SUV,Gurgaon,44280.0
Mercedes-Benz C-Class,2013,1796,First,Automatic,72100.0,First Owner,Petrol,180,5.0,15.653333333333334,Sedan,Gurgaon,14280.0
Audi A3,2018,1395,First,Automatic,46300.0,First Owner,Petrol,150,5.0,25.599999999999998,Sedan,Gurgaon,29880.0
Audi Q3,2018,1968,First,Automatic,38000.0,Second Owner,Diesel,180,5.0,17.847058823529412,SUV,Gurgaon,25079.999999999996
Audi A3,2019,1395,First,Automatic,26300.0,First Owner,Petrol,150,5.0,25.599999999999998,Sedan,Gurgaon,32160.0
Audi RS5,2021,2894,Third Party,Automatic,5600.0,First Owner,Petrol,440,4.0,11.733333333333334,Coupe,Gurgaon,113880.0
Audi RS5,2021,2894,First,Automatic,7000.0,First Owner,Petrol,440,4.0,11.733333333333334,Coupe,Gurgaon,113880.0
Audi Q5,2019,1968,Third Party,Automatic,48500.0,First Owner,Diesel,180,5.0,20.011764705882356,SUV,Gurgaon,45359.99999999999
Audi A6,2018,1968,First,Automatic,38000.0,First Owner,Diesel,180,5.0,21.8,Sedan,Gurgaon,35760.0
Audi A4,2013,1798,First,Automatic,43800.0,First Owner,Petrol,160,5.0,20.853333333333335,Sedan,Gurgaon,17880.0
Audi A6,2022,1984,First,Automatic,2300.0,First Owner,Petrol,240,5.0,18.813333333333333,Sedan,Gurgaon,77880.00000000001
Audi A6,2021,1984,First,Automatic,24800.0,First Owner,Petrol,240,5.0,18.813333333333333,Sedan,Gurgaon,62280.0
Audi A6,2020,1984,First,Automatic,36700.0,First Owner,Petrol,240,5.0,18.813333333333333,Sedan,Gurgaon,57480.0
Audi A6,2015,1798,First,Automatic,79000.0,Second Owner,Petrol,180,5.0,20.346666666666668,Sedan,Gurgaon,25079.999999999996
Audi A3,2017,1968,First,Automatic,55400.0,First Owner,Diesel,140,5.0,23.976470588235294,Sedan,Gurgaon,23879.999999999996
Audi A3,2019,1395,First,Automatic,23700.0,First Owner,Petrol,150,5.0,25.599999999999998,Sedan,Gurgaon,33360.0
Audi A3,2019,1395,First,Automatic,15600.0,First Owner,Petrol,150,5.0,25.599999999999998,Sedan,Gurgaon,32280.0
Audi A4,2020,1395,First,Automatic,29900.0,First Owner,Petrol,140,5.0,23.786666666666665,Sedan,Gurgaon,39480.0
Audi A3,2018,1968,First,Automatic,43500.0,First Owner,Diesel,140,5.0,23.976470588235294,Sedan,Gurgaon,27480.0
Audi A3,2019,1395,First,Automatic,44000.0,First Owner,Petrol,150,5.0,25.599999999999998,Sedan,Gurgaon,32280.0
Audi A6,2015,1968,First,Automatic,85000.0,First Owner,Diesel,180,5.0,21.8,Sedan,Gurgaon,22679.999999999996
Hyundai i20,2017,1396,Third Party,Manual,100000.0,First Owner,Diesel,80,5.0,26.517647058823528,Hatchback,Agra,6600.0
Maruti Swift,2020,1197,Third Party,Automatic,30000.0,First Owner,Petrol,80,5.0,28.28,Hatchback,Lucknow,9420.0
Maruti Swift,2015,1197,First,Manual,76469.0,First Owner,Petrol,80,5.0,29.88,Sedan,Lucknow,4896.0
Honda Amaze,2014,1198,Third Party,Manual,118976.0,First Owner,Petrol,80,5.0,24.0,Sedan,Lucknow,3960.0
Mahindra XUV500,2018,2179,First,Manual,57689.0,Second Owner,Diesel,150,7.0,17.764705882352942,SUV,Lucknow,11424.0
